kind,first_name,last_name,preferred_name,email,role,team,office,start_date,birthday,manager_email,client_since,client_company,relationship_owner_email,address_line1,address_line2,town,postcode,deliver_to,opt_out,status,leave_reason,leave_until,public_facts,private_notes,sign_as,preferred_signature,voice_sample,milestones
staff,James,Hartley,,james-hartley@hartleycrane.co.uk,Managing Partner,Partners,Manchester,2004-03-01,05-14,,,,,,,,,office,,active,,,Founded the firm with Nadia Crane in 2004,,James,"James Hartley, Managing Partner","Right. Good week, everyone. Thanks to the Audit team for getting Northgate over the line. See you Monday.",
staff,Nadia,Crane,,nadia-crane@hartleycrane.co.uk,Tax Partner,Tax,Manchester,2004-03-01,11-02,,,,,,,,,office,,active,,,,,Nadia,"Nadia Crane, Tax Partner",Thank you for trusting us with this. We'll keep it straightforward and keep you informed.,
staff,Tom,Whitfield,,tom-whitfield@hartleycrane.co.uk,Audit Partner,Audit,Manchester,2009-06-15,02-20,,,,,,,,,office,,active,,,,,Tom,"Tom Whitfield, Audit Partner","Nice one. Right, who's got the Northgate file? Pub at six, first round's mine.",
staff,Aisha,Rahman,,aisha-rahman@hartleycrane.co.uk,Advisory Partner,Advisory,Manchester,2013-01-07,07-19,,,,,,,,,office,,active,,,,,Aisha,"Aisha Rahman, Advisory Partner",Lovely to see this land. Let's make sure the client feels it too.,
staff,Mark,Ellison,,mark-ellison@hartleycrane.co.uk,"Partner, Leeds",Partners,Leeds,2011-09-05,12-08,,,,,,,,,office,,active,,,,,Mark,"Mark Ellison, Partner",Good stuff. Leeds keeps delivering. Keep it up.,
staff,Rachel,Okafor,,rachel-okafor@hartleycrane.co.uk,Head of People,Operations,Manchester,2017-04-03,03-27,james-hartley@hartleycrane.co.uk,,,,,,,,office,,active,,,,,Rachel,"Rachel Okafor, Head of People",,
staff,Sarah,Lindqvist,,sarah-lindqvist@hartleycrane.co.uk,Audit Manager,Audit,Manchester,2015-02-09,08-21,tom-whitfield@hartleycrane.co.uk,,,,,,,,office,,active,,,,,Sarah,"Sarah Lindqvist, Audit Manager",Brilliant work on this. Genuinely. Now go home.,
staff,Ben,Achebe,,ben-achebe@hartleycrane.co.uk,Audit Manager,Audit,Leeds,2016-10-17,06-03,mark-ellison@hartleycrane.co.uk,,,,,,,,office,,active,,,,,Ben,"Ben Achebe, Audit Manager",,
staff,Helen,Marsh,,helen-marsh@hartleycrane.co.uk,Tax Manager,Tax,Manchester,2014-05-12,01-30,nadia-crane@hartleycrane.co.uk,,,,,,,,office,,active,,,,,Helen,"Helen Marsh, Tax Manager","Welcome aboard. Ask anything, twice if you need to. The kettle is on the third floor.",
staff,Priya,Shah,,priya-shah@hartleycrane.co.uk,Tax Manager,Tax,Manchester,2018-03-05,10-01,nadia-crane@hartleycrane.co.uk,,,,42 Moor Lane,,Stockport,SK4 3JR,home,,on-leave,parental,2027-02-01,Runs the Tax team's graduate mentoring scheme,On parental leave since 10 Aug; keep workload conversations for her return in February,Priya,"Priya Shah, Tax Manager",,
