kind,first_name,last_name,preferred_name,email,role,team,office,start_date,birthday,dob,end_date,retiring,manager_email,client_since,client_company,relationship_owner_email,address_line1,address_line2,town,postcode,deliver_to,opt_out,consent,status,leave_reason,leave_until,public_facts,private_notes,sign_as,preferred_signature,voice_sample,milestones
staff,James,Hartley,,james-hartley@hartleycrane.co.uk,Managing Partner,Partners,Manchester,2004-03-01,,1968-05-14,,,,,,,,,,,office,,,active,,,Founded the firm with Nadia Crane in 2004,,James,"James Hartley, Managing Partner","Right. Good week, everyone. Thanks to the Audit team for getting Northgate over the line. See you Monday.",
staff,Nadia,Crane,,nadia-crane@hartleycrane.co.uk,Tax Partner,Tax,Manchester,2004-03-01,,1971-11-02,,,,,,,,,,,office,,,active,,,,,Nadia,"Nadia Crane, Tax Partner",Thank you for trusting us with this. We'll keep it straightforward and keep you informed.,
staff,Tom,Whitfield,,tom-whitfield@hartleycrane.co.uk,Audit Partner,Audit,Manchester,2009-06-15,,1976-02-20,,,,,,,,,,,office,,,active,,,,,Tom,"Tom Whitfield, Audit Partner","Nice one. Right, who's got the Northgate file? Pub at six, first round's mine.",
staff,Aisha,Rahman,,aisha-rahman@hartleycrane.co.uk,Advisory Partner,Advisory,Manchester,2013-01-07,,1980-07-19,,,,,,,,,,,office,,,active,,,,,Aisha,"Aisha Rahman, Advisory Partner",Lovely to see this land. Let's make sure the client feels it too.,
staff,Mark,Ellison,,mark-ellison@hartleycrane.co.uk,"Partner, Leeds",Partners,Leeds,2011-09-05,,1973-12-08,,,,,,,,,,,office,,,active,,,,,Mark,"Mark Ellison, Partner",Good stuff. Leeds keeps delivering. Keep it up.,
staff,Rachel,Okafor,,rachel-okafor@hartleycrane.co.uk,Head of People,Operations,Manchester,2017-04-03,,1984-03-27,,,james-hartley@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,Rachel,"Rachel Okafor, Head of People",,
staff,Sarah,Lindqvist,,sarah-lindqvist@hartleycrane.co.uk,Audit Manager,Audit,Manchester,2015-02-09,,1987-08-21,,,tom-whitfield@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,Sarah,"Sarah Lindqvist, Audit Manager",Brilliant work on this. Genuinely. Now go home.,
staff,Helen,Marsh,,helen-marsh@hartleycrane.co.uk,Tax Manager,Tax,Manchester,2014-05-12,,1982-01-30,,,nadia-crane@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,Helen,"Helen Marsh, Tax Manager","Welcome aboard. Ask anything, twice if you need to. The kettle is on the third floor.",
staff,Priya,Shah,,priya-shah@hartleycrane.co.uk,Tax Manager,Tax,Manchester,2018-03-05,,1989-10-01,,,nadia-crane@hartleycrane.co.uk,,,,42 Moor Lane,,Stockport,SK4 3JR,home,,,on-leave,parental,2027-02-01,Runs the Tax team's graduate mentoring scheme,On parental leave since 10 Aug; keep workload conversations for her return in February,Priya,"Priya Shah, Tax Manager",,
staff,Oliver,Grant,,oliver-grant@hartleycrane.co.uk,Advisory Manager,Advisory,Manchester,2019-01-14,,1990-04-11,,,aisha-rahman@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,Oli,"Oliver Grant, Advisory Manager",,
staff,Lucy,Pemberton,,lucy-pemberton@hartleycrane.co.uk,Outsourcing Manager,Outsourcing,Leeds,2017-08-28,,1985-09-12,,,mark-ellison@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,Lucy,"Lucy Pemberton, Outsourcing Manager","Thanks for everything, honestly. The payroll run has never once been late on your watch.",
staff,Chloe,Bennett,,chloe-bennett@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2021-09-30,,1996-03-08,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,Led the Northgate audit close in June | Runs the Thursday lunchtime 5k club | Qualified ACA in 2024,,,,,
staff,Daniel,Osei,,daniel-osei@hartleycrane.co.uk,Graduate Trainee,Tax,Manchester,2026-09-28,,2003-06-17,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,"Joining from Manchester Metropolitan, accounting and finance | Will sit with Helen's team on the third floor | Interviewed brilliantly on R&D tax credits",,,,,
staff,Marcus,Reid,,marcus-reid@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2023-09-04,,1999-09-29,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,Passed his final ACA exams in July | Volunteers on the firm's Number Partners school scheme,,,,,
staff,Fatima,Hussain,,fatima-hussain@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2022-02-14,,1993-10-02,,,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,,active,,,Led the Calder Valley Brewing valuation this summer,,,,,
staff,Gary,Thompson,,gary-thompson@hartleycrane.co.uk,Office Coordinator,Operations,Leeds,2012-06-11,,1976-10-03,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,Organises the Leeds Friday fruit delivery | Ran the Leeds office move in 2023,,,,,
staff,Ian,Fletcher,,ian-fletcher@hartleycrane.co.uk,Systems Administrator,Operations,Manchester,2019-11-04,,1981-10-02,,,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,true,,active,,,,,,,,
staff,Sophie,Nkemelu,,sophie-nkemelu@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2024-01-08,,1997-09-30,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,home,,,active,,,Works from home three days a week,,,,,
staff,Amy,Walsh,,amy-walsh@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2020-07-06,,1994-10-06,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,Ran the Making Tax Digital rollout for sole-trader clients,,,,,
staff,Kwame,Mensah,,kwame-mensah@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2024-09-02,,2000-10-08,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,Captain of the firm's five-a-side team,,,,,
staff,Emma,Clarke,,emma-clarke@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2025-10-07,,2001-02-02,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,Joined from a Big Four graduate scheme | Took over the Ribble Print Works fieldwork in her first month,,,,,
staff,Rob,Sinclair,,rob-sinclair@hartleycrane.co.uk,Payroll Specialist,Outsourcing,Leeds,2018-10-14,,1988-10-11,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,Never once missed a payroll run in eight years | Taught half the Leeds office to use pivot tables | Famous for the Friday bacon-roll order,,,,,
